x,y,Box
0.315925,1.545161,1
0.315925,1.623965,1
0.435325,1.623965,1
0.435325,1.545161,1
0.315925,1.545161,1
0.315925,1.627248,2
0.315925,1.706052,2
0.435325,1.706052,2
0.435325,1.627248,2
0.315925,1.627248,2
0.315925,1.709336,3
0.315925,1.78814,3
0.435325,1.78814,3
0.435325,1.709336,3
0.315925,1.709336,3
0.4403,1.545161,4
0.4403,1.623965,4
0.5597,1.623965,4
0.5597,1.545161,4
0.4403,1.545161,4
0.4403,1.627248,5
0.4403,1.706052,5
0.5597,1.706052,5
0.5597,1.627248,5
0.4403,1.627248,5
0.4403,1.709336,6
0.4403,1.78814,6
0.5597,1.78814,6
0.5597,1.709336,6
0.4403,1.709336,6
0.564675,1.545161,7
0.564675,1.623965,7
0.684075,1.623965,7
0.684075,1.545161,7
0.564675,1.545161,7
0.564675,1.627248,8
0.564675,1.706052,8
0.684075,1.706052,8
0.684075,1.627248,8
0.564675,1.627248,8
0.564675,1.709336,9
0.564675,1.78814,9
0.684075,1.78814,9
0.684075,1.709336,9
0.564675,1.709336,9
