x,y,Box
0.067175,1.380986,1
0.067175,1.45979,1
0.186575,1.45979,1
0.186575,1.380986,1
0.067175,1.380986,1
0.067175,1.627248,2
0.067175,1.706052,2
0.186575,1.706052,2
0.186575,1.627248,2
0.067175,1.627248,2
0.067175,1.873511,3
0.067175,1.952315,3
0.186575,1.952315,3
0.186575,1.873511,3
0.067175,1.873511,3
0.4403,1.380986,4
0.4403,1.45979,4
0.5597,1.45979,4
0.5597,1.380986,4
0.4403,1.380986,4
0.4403,1.627248,5
0.4403,1.706052,5
0.5597,1.706052,5
0.5597,1.627248,5
0.4403,1.627248,5
0.4403,1.873511,6
0.4403,1.952315,6
0.5597,1.952315,6
0.5597,1.873511,6
0.4403,1.873511,6
0.813425,1.380986,7
0.813425,1.45979,7
0.932825,1.45979,7
0.932825,1.380986,7
0.813425,1.380986,7
0.813425,1.627248,8
0.813425,1.706052,8
0.932825,1.706052,8
0.932825,1.627248,8
0.813425,1.627248,8
0.813425,1.873511,9
0.813425,1.952315,9
0.932825,1.952315,9
0.932825,1.873511,9
0.813425,1.873511,9
