x,y,Box
0.19155,1.463073,1
0.19155,1.541877,1
0.31095,1.541877,1
0.31095,1.463073,1
0.19155,1.463073,1
0.19155,1.627248,2
0.19155,1.706052,2
0.31095,1.706052,2
0.31095,1.627248,2
0.19155,1.627248,2
0.19155,1.791423,3
0.19155,1.870227,3
0.31095,1.870227,3
0.31095,1.791423,3
0.19155,1.791423,3
0.4403,1.463073,4
0.4403,1.541877,4
0.5597,1.541877,4
0.5597,1.463073,4
0.4403,1.463073,4
0.4403,1.627248,5
0.4403,1.706052,5
0.5597,1.706052,5
0.5597,1.627248,5
0.4403,1.627248,5
0.4403,1.791423,6
0.4403,1.870227,6
0.5597,1.870227,6
0.5597,1.791423,6
0.4403,1.791423,6
0.68905,1.463073,7
0.68905,1.541877,7
0.80845,1.541877,7
0.80845,1.463073,7
0.68905,1.463073,7
0.68905,1.627248,8
0.68905,1.706052,8
0.80845,1.706052,8
0.80845,1.627248,8
0.68905,1.627248,8
0.68905,1.791423,9
0.68905,1.870227,9
0.80845,1.870227,9
0.80845,1.791423,9
0.68905,1.791423,9
